category,location_name,post_name,requirement,responsibility,update_time
Technology,Shenzhen,PCG19-腾讯视频后台架构专家 （深圳）,"计算机或相关专业本科以上学历，5年以上后台架构相关经验，主导过大型分布式系统设计并成功上线运营；
精通C++、Go和Python语言，具备高质量编码能力
熟悉流媒体协议和音视频编解码技术；
有良好的逻辑思维能力和数据分析能力，善于分析和解决问题；
有良好的沟通能力、团队协作能力和抗压能力，充满责任感和创新意识。","负责腾讯视频技术中台项目架构设计工作，负责建设PCG点播和直播音视频处理中台；
负责腾讯视频流媒体技术演进规划和实施，为业务提供灵活可靠的技术支撑；
负责腾讯视频流媒体技术难点的攻关和预研
","February 27,2021"
Technology,Chengdu,15575-《王者荣耀》研发效率优化工程师（成都）,"本科及以上学历，计算机相关专业，具备2年以上工作经验；
熟悉开发流程，参与过自动化管线建设，有构建-归档-发布过程自动化工具开发经验；
熟悉svn，P4，git等管理工具，掌握python，shell等脚本语言，能熟练编写脚本扩展工具与实现业务需求；
有一定的服务器和网络相关知识，能解决工具和开发者遇到的版本相关技术问题；
具备良好的沟通能力，参与过大型项目，涉及跨团队协作类项目的尤佳；
了解团队协作中的常见问题、痛点，有能力和毅力推动流程和方法的进步。","设计和实现项目资产管理方案，通过版本脚本工具、流程、规范、开发模式等手段解决项目并行开发诉求；
搭建版本管理工具和需求、QA等项目管理工具的关联，搭建和改进版本的构建、测试、发布自动化能力；
分析理解项目开发中不同部门在版本管理及流程上的痛点，和项目一起寻找更高效的开发方法。","February 28,2021"
Technology,Shenzhen,25923-蓝鲸平台运维工程师（深圳）,"本科以上学历，计算机软件或相关专业；
3年以上Linux操作系统运维经验，具备海量服务器运维经验；
熟练使用Bash、Python等脚本语言编程；
熟悉Docker容器集群管理的优先；
熟悉存储系统（mysql、es、ceph等）运维的优先；
熟悉常用公用组件（lvs、etcd、zk、redis等）运维的优先；
具有良好的沟通能力、学习能力、问题分析与解决能力；
具有高度的责任心和团队合作精神。","负责蓝鲸各产品的发布变更、故障处理等日常运维工作；
负责自动化运维能力的设计、开发和优化，及监控体系的建设；
负责各产品的架构评审优化、容量规划、成本优化等工作；
负责各产品公共组件（etcd、zk、redis等）服务的规划及运维工作；
深入理解各产品的架构， 解决故障隐患及性能瓶颈。","February 27,2021"
Technology,Shenzhen,25925-NLP算法工程师（深圳）,"自然语言处理、模式识别或机器学习相关专业硕士以上学历；
熟悉NLP领域的理论基础，掌握统计模型、机器学习相关原理，具有NLP实战经验，参与过相关项目，有海量数据挖掘、文本分类与语义分析、知识图谱构建、深度学习研发经验优先；
熟悉一些开源的算法库或工具，比如：StanfordNLP，NLTK，Apache OpenNLP，Kaldi, HTK/HTS，Hadoop等，精通C/C++、Python等至少一门语言；
具有良好的团队合作精神和高度的责任心。","负责文本分析中的文本分类、情感分析、话题分析、话题摘要、观点识别、语义理解等NLP业务场景； 
负责系统知识图谱构建的工作，从半结构化或无结构数据上构建知识图谱；
负责NLP领域前沿算法及框架追踪，探索基于深度学习和大数据的NLP应用；
组织团队人员的培训、技术指导以及技术难点突破工作。","February 27,2021"
Technology,Guangzhou,WXG07-邮件反垃圾算法工程师,"""计算机、信息科学或数学相关专业硕士及以上学历；
熟练掌握NLP基础理论和算法，在一个或多个领域（如文本分类、语义理解、文本聚类等）能够独立开展研发工作；
熟练掌握一门编程语言（C++/Python/Java等），了解常用的数据结构和算法；
熟悉Tensorflow / Pytorch等机器学习算法框架；
具备分布式平台数据处理经验；
良好的逻辑思维、业务理解能力和沟通能力；""",负责自然语言处理及机器学习的算法研发以及在邮件反垃圾场景的落地；	,"February 27,2021"
Technology,Shenzhen,TEG02-网络控制器测试工程师,"大学本科或以上学历，计算机相关专业； 
3年以上网络系统测试工作经验，熟悉ODL平台，熟悉软件测试、系统测试流程及相关工具，需要有较强的质量意识和客户服务意识； 
熟悉IP网络系统原理，具备IP网络控制器或网管测试经验优先；
熟悉Linux系统环境，熟练掌握Linux基本工具的使用，至少掌握一种自动化测试脚本语言（如Python，shell，TCL等），能编写自动化测试程序；
对网络系统测试有浓厚的兴趣，并有持续深钻技术的学习能力；
有良好的计划、沟通、组织协调能力、语言表达能力；较强的逻辑分析能力和应变能力；良好的团队合作精神； 
","负责网络控制系统的测试，包括制定测试方案和计划，搭建测试环境、编写测试用例、执行系统测试、输出测试报告等；
负责网络控制系统测试规范、测试流程的建设和优化、培养网络控制系统测试人员；
负责测试网络控制系统缺陷并协助分析、定位问题，及时合理解决问题，保证产品质量和研发进度；
负责支撑网络控制系统现网版本发布，及问题定位解决；
负责新技术方案验证，评估其可行性、稳定性；
","February 28,2021"
Technology,Shenzhen,PCG19-腾讯视频音视频后台开发leader（深圳）,"计算机或相关专业本科以上学历，5年以上后台架构相关经验，主导过大型分布式系统设计并成功上线运营；
精通C++、Go和Python语言，具备高质量编码能力
熟悉流媒体协议和音视频编解码技术；
有良好的逻辑思维能力和数据分析能力，善于分析和解决问题；
具备2年以上的管理经验，有良好的沟通能力、团队协作能力和抗压能力，充满责任感和创新意识。","负责腾讯视频技术中台项目架构设计工作，负责建设PCG点播和直播音视频处理中台；
负责腾讯视频流媒体技术演进规划和实施，为业务提供灵活可靠的技术支撑；
负责腾讯视频流媒体技术难点的预研、攻关和业务落地","February 27,2021"
Technology,Shanghai,CSIG17-腾讯云SaaS产品高级测试开发工程师（上海）,"计算机相关专业本科及以上学历，3年以上的软件测试开发经验； 
对操作系统、计算机网络和数据库等有较深入的理解和实践；
熟练掌握和运用Python/C/C++/Java/Go等至少一种编程语言，有相关测试工具平台建设者优先；  
具备扎实的测试基础，能独立负责一个产品或模块的测试工作;
具备良好的团队合作精神、工作责任心和自驱力，具备较高的问题推动解决能力。","负责腾讯云SaaS业务的质量保障工作，包括但不限于接口自动化、性能自动化、稳定性测试等质量保障工作；
结合业务推进CICD的落地，负责研发效能提升工具平台的调研、设计、开发、验证及运营； 
持续探索、引入行业优秀测试技术和理念，帮助团队提升研发质量和效率。","February 28,2021"
Technology,Shenzhen,20052-自然语言理解工程师,"熟练掌握nlp基础理论和算法，在一个或多个领域（如分词、文本分类、语义理解、知识图谱、Query理解、搜索相关性等）能够独立开展研发工作；
熟练掌握C/C++和python语言编程，优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；
较强的算法实现能力，熟悉NLP的预训练框架bert，Xlnet，ernie等，熟悉深度学习平台如tensorflow，pytorch等；
有较强的研究能力，如在领域顶级会议如ACL，COLING，SIGIR，EMNLP等发表过高质量论文者优先； 
有较强的代码能力优先，获得过ACM或其他商业代码竞赛的荣誉，如ACM区预赛金牌、NOI银牌以上等，或代码开源在github上并有较大影响。","负责pcg中台分词等query理解模块的建设与优化；
负责分词模块在看点与中台上的应用与保障；
负责搜索召回的相关性模块建设；
负责相关业界前沿技术的探索与落地；","February 23,2021"
Technology,Beijing,WXG08-微信NLP系统优化和开发工程师（北京）,"精通C++；熟悉GoLang/Java/Python等一种或多种编程语言；
扎实的数据结构和算法功底；
具备良好的分析解决问题能力，能够合理设计和优化系统方案；
主导过或深度参与过NLP端上系统开发工作，或具备较好的算法工程加速经验，或具有ACM或信息学竞赛经验最佳；
具有相关系统或项目研发经验者最佳。","负责微信NLP应用相关的系统设计与开发工作；
负责针对特定场景的高性能系统/数据结构设计与开发工作；
负责面向移动设备的系统内存、功耗、速度等优化工作。","February 23,2021"
