store_id,city,channel,gender_group,age_group,wkd_ind,product,customer,revenue,order,quant,unit_cost,unit_price
658,深圳,线下,Female,25-29,Weekday,当季新品,4,796,4,4,59,199
146,杭州,线下,Female,25-29,Weekday,运动,1,149,1,1,49,149
70,深圳,线下,Male,>=60,Weekday,T恤,2,178,2,2,49,89
658,深圳,线下,Female,25-29,Weekday,T恤,1,59,1,1,49,59
229,深圳,线下,Male,20-24,Weekend,袜子,2,65,2,3,9,22
28,武汉,线上,Female,35-39,Weekend,T恤,1,97,1,1,49,97
649,杭州,线下,Female,25-29,Weekend,短裤,1,33,1,1,19,33
520,杭州,线下,Male,>=60,Weekend,T恤,2,158,2,2,49,79
649,杭州,线下,Female,30-34,Weekend,牛仔裤,3,157,3,3,69,52
21,北京,线下,Female,45-49,Weekend,毛衣,1,199,1,1,99,199
208,重庆,线下,Male,20-24,Weekend,配件,1,149,1,1,29,149
437,重庆,线下,Female,20-24,Weekday,T恤,1,129,1,1,49,129
520,杭州,线下,Female,35-39,Weekend,当季新品,12,2050,12,12,59,171
611,深圳,线下,Male,30-34,Weekend,T恤,1,79,1,1,49,79
648,西安,线下,Male,20-24,Weekend,T恤,1,59,1,1,49,59
737,深圳,线下,Male,30-34,Weekend,短裤,1,33,1,1,19,33
32,武汉,线上,Male,35-39,Weekend,短裤,2,79,2,2,19,40
649,杭州,线下,Male,30-34,Weekday,袜子,1,19,1,1,9,19
208,重庆,线下,Female,30-34,Weekend,T恤,1,99,1,1,49,99
658,深圳,线下,Female,35-39,Weekday,牛仔裤,3,196,3,4,69,49
420,广州,线上,Male,>=60,Weekday,T恤,1,39,1,1,49,39
759,重庆,线下,Male,25-29,Weekend,T恤,1,59,1,1,49,59
802,西安,线下,Female,35-39,Weekday,短裤,1,39,1,1,19,39
19,南京,线下,Female,35-39,Weekend,T恤,4,176,4,4,49,44
231,广州,线下,Female,35-39,Weekend,T恤,3,114,3,3,49,38
375,广州,线上,Female,45-49,Weekday,当季新品,1,79,1,1,59,79
479,深圳,线下,Female,30-34,Weekday,配件,1,59,1,1,29,59
146,杭州,线下,Female,25-29,Weekday,T恤,1,79,1,1,49,79
759,重庆,线下,Female,25-29,Weekday,袜子,1,79,1,1,9,79
758,杭州,线下,Female,20-24,Weekday,短裤,1,33,1,1,19,33
