ID,套餐金额,额外通话时长,额外流量,改变行为,服务合约,关联购买,集团用户,流失用户
1,1,792.833333333333,-10.450066731729166,0,0,0,0,0
2,1,121.666666666667,-21.14111718726,0,0,0,0,0
3,1,-30.0,-25.6552734375,0,0,0,0,1
4,1,241.5,-288.34125377838006,0,1,0,1,0
5,1,1629.66666666667,-23.655504868774987,0,0,0,1,0
6,1,182.0,-115.86358386902872,0,1,0,1,0
7,1,196.333333333333,221.29420657592357,0,1,0,1,0
8,1,539.5,81.16059983439236,0,1,0,0,0
9,1,1037.16666666667,8.344392727173464,0,1,0,1,0
10,2,289.0,-131.78451789141232,0,0,0,1,0
11,1,1541.8,-136.39163979618968,0,1,0,0,1
12,1,90.0,-27.690860748000002,0,1,0,0,1
13,1,407.5,112.78829149609112,0,1,0,1,0
14,1,157.833333333333,45.25510020706256,1,1,0,0,0
15,2,-307.16666666666697,-356.35207724501345,0,0,0,1,0
16,1,1163.5,94.63211624373244,0,1,0,1,0
17,1,1642.33333333333,55.14112036940365,0,1,0,1,0
18,1,644.166666666667,-73.3640036836463,0,0,1,1,0
19,2,-95.0,9.482442007142376,0,0,0,0,0
20,1,1058.7333333333302,-10.603581830523183,0,0,0,0,1
21,1,1053.5,180.92350946161702,1,1,0,0,0
22,1,597.5,9.895255809124624,0,0,0,1,0
23,1,2747.8333333333303,-42.40835600967943,0,0,0,1,0
24,1,36.5,-81.62792890734625,0,1,2,0,0
25,1,-77.1666666666667,-60.14,0,0,0,0,1
26,1,2125.1666666666697,162.81247202560218,0,0,0,0,1
27,1,-113.5,-59.96281449000041,0,0,0,0,1
28,1,19.0,-101.87446880285688,0,0,0,0,1
29,1,260.33333333333303,43.00811957069468,0,0,0,0,1
30,1,-49.8333333333333,66.20283253972887,0,0,0,0,1
31,1,-95.3333333333333,-60.0,0,0,0,0,1
32,1,3463.0,-61.567,0,0,0,0,1
33,1,545.333333333333,-43.32127906356676,0,1,0,1,0
34,1,379.5,193.54513649137346,0,0,0,1,0
35,1,581.0,24.361296735724203,0,1,0,1,0
36,1,74.3333333333333,-96.33542397580496,0,1,0,1,0
37,1,-50.0,-223.84,0,0,0,0,1
38,1,1292.83333333333,-75.32850384885077,0,1,0,1,0
39,2,581.333333333333,88.85378353139588,0,0,0,1,0
40,1,2780.0,-179.3380785,0,1,0,0,1
41,1,101.166666666667,-14.578475342310297,0,1,0,0,0
42,1,3200.8,-292.20401891062494,0,1,0,0,1
43,1,1233.83333333333,31.677019317770892,0,1,0,1,0
44,1,-154.5,-55.079509735168216,0,0,0,0,1
45,1,14.166666666666698,228.98028551258503,0,1,0,1,0
46,1,-179.333333333333,-59.88655122121321,0,0,0,0,1
47,1,515.166666666667,55.89165758771167,0,1,0,1,0
48,1,124.666666666667,-101.61568066335705,0,1,1,0,0
49,1,-101.333333333333,-59.823872479525356,0,0,0,0,1
50,1,-167.833333333333,-55.082209765956755,0,0,0,0,1
51,1,96.1666666666667,-56.35280357707532,0,0,0,0,1
52,2,249.833333333333,5.3148405699788706,0,1,0,1,0
53,1,441.166666666667,-24.306318419197485,0,1,0,0,1
54,1,598.0,212.52329404600403,0,0,0,1,0
55,1,-50.0,-59.924653689066574,0,0,0,0,1
56,1,77.4666666666667,-48.795325192492726,0,0,0,0,1
57,1,321.38333333333304,-36.6923894015595,0,1,0,0,1
58,1,1046.66666666667,-51.54067364831089,0,0,0,1,0
59,2,347.166666666667,-974.9354561542598,0,0,0,0,0
